Rank,Player,Points,Country,Characters
1,Randomname,6286,CA,Sephiroth - Terry
2,Lamb,5516,CA,Fox - Ice Climbers
3,Silent Bob,5513,CA,Incineroar - Wolf
4,YTS | Jonch,5127,CA,Snake
5,LDog,4876,CA,Dark Pit
6,Slidbrush,4751,CA,Falco
7,BowserAttack,4490,CA,Cloud
8,YTS | Stag,4442,CA,Young Link - Zelda - Ice Climbers
9,Villain,4431,CA,Bowser Jr - Ridley
10,Silver,3475,CA,Inkling - Robin
11,Purplespice,3426,CA,Falco - Pyra / Mythra
12,Nep,3341,CA,Corrin - Zero Suit Samus - Wii Fit Trainer
13,YTS | MJS,3131,CA,Piranha Plant
14,MrtheTaste,3129,CA,Joker - Mii Brawler
15,majormoistme,2308,CA,Kirby
16,Absolutelynothing,2012,CA,Donkey Kong
17,RetroLad64,1172,CA,Yoshi
18,YTS | AX,1039,CA,Sora
19,YTS | MobMarMini,412,CA,Bowser Jr - Corrin
