,,"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",
,,"Randomname","Silent Bob","Lamb","YTS | Jonch","LDog","BowserAttack","Slidbrush","YTS | Stag","Villain","MrtheTaste","Silver","Nep","Purplespice","Absolutelynothing","YTS | MJS",
"1","Randomname",--,22 -- 8,36 -- 26,10 -- 8,13 -- 7,14 -- 3,6 -- 1,15 -- 4,6 -- 1,0 -- 0,3 -- 0,0 -- 0,2 -- 0,4 -- 0,7 -- 1,
"2","Silent Bob",8 -- 22,--,22 -- 30,23 -- 2,11 -- 5,9 -- 1,2 -- 7,27 -- 6,4 -- 0,5 -- 1,14 -- 2,7 -- 0,11 -- 5,5 -- 0,10 -- 0,
"3","Lamb",26 -- 36,30 -- 22,--,21 -- 6,11 -- 5,15 -- 5,10 -- 6,8 -- 5,14 -- 6,15 -- 3,7 -- 0,3 -- 0,9 -- 2,0 -- 2,12 -- 0,
"4","YTS | Jonch",8 -- 10,2 -- 23,6 -- 21,--,9 -- 5,23 -- 10,2 -- 6,7 -- 7,5 -- 2,11 -- 7,5 -- 1,4 -- 0,10 -- 3,5 -- 2,12 -- 4,
"5","LDog",7 -- 13,5 -- 11,5 -- 11,5 -- 9,--,11 -- 4,2 -- 7,10 -- 2,4 -- 1,7 -- 2,0 -- 0,5 -- 0,3 -- 0,2 -- 0,6 -- 1,
"6","BowserAttack",3 -- 14,1 -- 9,5 -- 15,10 -- 23,4 -- 11,--,0 -- 0,4 -- 4,10 -- 8,6 -- 2,4 -- 1,4 -- 0,4 -- 0,6 -- 1,4 -- 1,
"7","Slidbrush",1 -- 6,7 -- 2,6 -- 10,6 -- 2,7 -- 2,0 -- 0,--,0 -- 0,7 -- 3,2 -- 0,0 -- 0,7 -- 1,2 -- 0,0 -- 0,1 -- 0,
"8","YTS | Stag",4 -- 15,6 -- 27,5 -- 8,7 -- 7,2 -- 10,4 -- 4,0 -- 0,--,7 -- 10,16 -- 4,4 -- 7,9 -- 7,10 -- 5,4 -- 1,10 -- 2,
"9","Villain",1 -- 6,0 -- 4,6 -- 14,2 -- 5,1 -- 4,8 -- 10,3 -- 7,10 -- 7,--,2 -- 2,6 -- 4,6 -- 0,2 -- 2,2 -- 2,8 -- 0,
"10","MrtheTaste",0 -- 0,1 -- 5,3 -- 15,7 -- 11,2 -- 7,2 -- 6,0 -- 2,4 -- 16,2 -- 2,--,0 -- 0,0 -- 2,3 -- 2,2 -- 0,4 -- 8,
"11","Silver",0 -- 3,2 -- 14,0 -- 7,1 -- 5,0 -- 0,1 -- 4,0 -- 0,7 -- 4,4 -- 6,0 -- 0,--,6 -- 5,2 -- 1,0 -- 0,7 -- 1,
"12","Nep",0 -- 0,0 -- 7,0 -- 3,0 -- 4,0 -- 5,0 -- 4,1 -- 7,7 -- 9,0 -- 6,2 -- 0,5 -- 6,--,3 -- 0,0 -- 0,0 -- 0,
"13","Purplespice",0 -- 2,5 -- 11,2 -- 9,3 -- 10,0 -- 3,0 -- 4,0 -- 2,5 -- 10,2 -- 2,2 -- 3,1 -- 2,0 -- 3,--,0 -- 2,10 -- 4,
"14","Absolutelynothing",0 -- 4,0 -- 5,2 -- 0,2 -- 5,0 -- 2,1 -- 6,0 -- 0,1 -- 4,2 -- 2,0 -- 2,0 -- 0,0 -- 0,2 -- 0,--,2 -- 5,
"15","YTS | MJS",1 -- 7,0 -- 10,0 -- 12,4 -- 12,1 -- 6,1 -- 4,0 -- 1,2 -- 10,0 -- 8,8 -- 4,1 -- 7,0 -- 0,4 -- 10,5 -- 2,--,
