Rank,Player,Points,Country,Characters
1,"Randomname",6187,"","Sephiroth - Terry - Fox"
2,"Silent Bob",5726,"","Incineroar - Wolf"
3,"Lamb",5360,"","Fox - Ice Climbers - Min Min"
4,"YTS | Jonch",5011,"","Snake"
5,"LDog",4769,"","Dark Pit"
6,"BowserAttack",4580,"","Cloud"
7,"Slidbrush",4557,"","Falco"
8,"YTS | Stag",4349,"","Young Link - Ice Climbers"
9,"Villain",4229,"","Bowser Jr - Meta Knight"
10,"MrtheTaste",3496,"","Joker - Mii Brawler"
11,"Silver",3391,"","Inkling - Robin"
12,"Nep",3265,"","Corrin - Zero Suit Samus - Wii Fit Trainer"
13,"Purplespice",3263,"","Falco - Pyra / Mythra"
14,"Absolutelynothing",3113,"","Donkey Kong"
15,"YTS | MJS",2917,"","Piranha Plant"
16,"majormoistme",2514,"","Kirby"
17,"Averyjm3457",2372,"","Roy - Ness - Rob"
18,"RetroLad64",1114,"","Yoshi"
19,"YTS | AX",1081,"","Sora"
20,"YTS | MobMarMini",407,"","Bowser Jr - Corrin"
