,,"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",
,,"Randomname","Silent Bob","Lamb","YTS | Jonch","LDog","BowserAttack","Villain","YTS | Stag","Purplespice","Silver","Nep","MrtheTaste","YTS | MJS","majormoistme","Absolutelynothing","YTS | AX","RetroLad64","YTS | MobMarMini",
"1","Randomname",--,3 -- 0,3 -- 1,1 -- 1,2 -- 0,3 -- 1,1 -- 0,2 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,1 -- 0,2 -- 0,2 -- 0,0 -- 0,0 -- 0,1 -- 0,
"2","Silent Bob",0 -- 3,--,0 -- 1,3 -- 0,1 -- 1,1 -- 0,0 -- 0,3 -- 0,3 -- 0,3 -- 0,1 -- 0,1 -- 0,2 -- 0,0 -- 0,1 -- 0,0 -- 0,0 -- 0,0 -- 0,
"3","Lamb",1 -- 3,1 -- 0,--,3 -- 2,2 -- 0,2 -- 1,3 -- 1,0 -- 1,2 -- 0,2 -- 0,0 -- 0,4 -- 0,1 -- 0,0 -- 0,0 -- 0,1 -- 0,0 -- 0,0 -- 0,
"4","YTS | Jonch",1 -- 1,0 -- 3,2 -- 3,--,1 -- 0,1 -- 0,2 -- 0,1 -- 0,2 -- 0,2 -- 0,1 -- 0,2 -- 1,1 -- 0,0 -- 0,1 -- 0,2 -- 0,1 -- 0,0 -- 0,
"5","LDog",0 -- 2,1 -- 1,0 -- 2,0 -- 1,--,1 -- 1,1 -- 0,2 -- 0,0 -- 0,0 -- 0,2 -- 0,1 -- 0,2 -- 0,1 -- 0,1 -- 0,0 -- 0,2 -- 0,2 -- 0,
"6","BowserAttack",1 -- 3,0 -- 1,1 -- 2,0 -- 1,1 -- 1,--,1 -- 1,0 -- 1,0 -- 0,2 -- 0,2 -- 0,2 -- 0,1 -- 0,2 -- 0,2 -- 0,1 -- 0,0 -- 0,0 -- 0,
"7","Villain",0 -- 1,0 -- 0,1 -- 3,0 -- 2,0 -- 1,1 -- 1,--,2 -- 1,1 -- 1,2 -- 0,1 -- 0,0 -- 0,2 -- 0,1 -- 0,1 -- 0,1 -- 0,1 -- 0,2 -- 0,
"8","YTS | Stag",0 -- 2,0 -- 3,1 -- 0,0 -- 1,0 -- 2,1 -- 0,1 -- 2,--,1 -- 0,0 -- 0,1 -- 0,2 -- 0,0 -- 0,1 -- 0,2 -- 0,1 -- 0,2 -- 0,0 -- 0,
"9","Purplespice",0 -- 0,0 -- 3,0 -- 2,0 -- 2,0 -- 0,0 -- 0,1 -- 1,0 -- 1,--,0 -- 1,0 -- 1,1 -- 1,1 -- 0,2 -- 0,0 -- 0,1 -- 0,0 -- 0,3 -- 0,
"10","Silver",0 -- 0,0 -- 3,0 -- 2,0 -- 2,0 -- 0,0 -- 2,0 -- 2,0 -- 0,1 -- 0,--,2 -- 2,0 -- 0,1 -- 0,1 -- 1,0 -- 0,0 -- 0,1 -- 0,1 -- 0,
"11","Nep",0 -- 0,0 -- 1,0 -- 0,0 -- 1,0 -- 2,0 -- 2,0 -- 1,0 -- 1,1 -- 0,2 -- 2,--,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,3 -- 0,1 -- 0,
"12","MrtheTaste",0 -- 0,0 -- 1,0 -- 4,1 -- 2,0 -- 1,0 -- 2,0 -- 0,0 -- 2,1 -- 1,0 -- 0,0 -- 0,--,0 -- 3,0 -- 1,1 -- 0,0 -- 0,3 -- 0,1 -- 0,
"13","YTS | MJS",0 -- 1,0 -- 2,0 -- 1,0 -- 1,0 -- 2,0 -- 1,0 -- 2,0 -- 0,0 -- 1,0 -- 1,0 -- 0,3 -- 0,--,0 -- 0,2 -- 1,0 -- 0,1 -- 0,3 -- 0,
"14","majormoistme",0 -- 2,0 -- 0,0 -- 0,0 -- 0,0 -- 1,0 -- 2,0 -- 1,0 -- 1,0 -- 2,1 -- 1,0 -- 0,1 -- 0,0 -- 0,--,1 -- 0,1 -- 0,0 -- 0,2 -- 0,
"15","Absolutelynothing",0 -- 2,0 -- 1,0 -- 0,0 -- 1,0 -- 1,0 -- 2,0 -- 1,0 -- 2,0 -- 0,0 -- 0,0 -- 0,0 -- 1,1 -- 2,0 -- 1,--,1 -- 0,1 -- 0,0 -- 0,
"16","YTS | AX",0 -- 0,0 -- 0,0 -- 1,0 -- 2,0 -- 0,0 -- 1,0 -- 1,0 -- 1,0 -- 1,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 1,0 -- 1,--,0 -- 1,2 -- 0,
"17","RetroLad64",0 -- 0,0 -- 0,0 -- 0,0 -- 1,0 -- 2,0 -- 0,0 -- 1,0 -- 2,0 -- 0,0 -- 1,0 -- 3,0 -- 3,0 -- 1,0 -- 0,0 -- 1,1 -- 0,--,0 -- 0,
"18","YTS | MobMarMini",0 -- 1,0 -- 0,0 -- 0,0 -- 0,0 -- 2,0 -- 0,0 -- 2,0 -- 0,0 -- 3,0 -- 1,0 -- 1,0 -- 1,0 -- 3,0 -- 2,0 -- 0,0 -- 2,0 -- 0,--,
