,,"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",
,,"Randomname","Silent Bob","Lamb","YTS | Jonch","BowserAttack","LDog","YTS | Stag","Villain","MrtheTaste","Purplespice","Silver","Absolutelynothing","Nep","YTS | MJS","majormoistme",
"1","Randomname",--,10 -- 3,12 -- 8,8 -- 7,11 -- 3,5 -- 2,7 -- 2,4 -- 0,0 -- 0,0 -- 0,0 -- 0,4 -- 0,0 -- 0,2 -- 0,6 -- 1,
"2","Silent Bob",3 -- 10,--,4 -- 5,9 -- 2,3 -- 0,3 -- 2,9 -- 3,0 -- 0,4 -- 1,7 -- 1,6 -- 0,5 -- 0,2 -- 0,6 -- 0,0 -- 0,
"3","Lamb",8 -- 12,5 -- 4,--,10 -- 4,8 -- 4,4 -- 2,1 -- 2,6 -- 4,11 -- 1,6 -- 2,4 -- 0,0 -- 2,0 -- 0,2 -- 0,0 -- 0,
"4","YTS | Jonch",7 -- 8,2 -- 9,4 -- 10,--,5 -- 0,2 -- 0,2 -- 0,5 -- 0,9 -- 7,6 -- 0,4 -- 1,5 -- 2,2 -- 0,4 -- 0,0 -- 0,
"5","BowserAttack",3 -- 11,0 -- 3,4 -- 8,0 -- 5,--,3 -- 2,2 -- 4,7 -- 5,4 -- 0,2 -- 0,4 -- 1,6 -- 1,4 -- 0,2 -- 1,4 -- 0,
"6","LDog",2 -- 5,2 -- 3,2 -- 4,0 -- 2,2 -- 3,--,4 -- 0,3 -- 1,2 -- 1,0 -- 0,0 -- 0,2 -- 0,4 -- 0,4 -- 1,2 -- 0,
"7","YTS | Stag",2 -- 7,3 -- 9,2 -- 1,0 -- 2,4 -- 2,0 -- 4,--,6 -- 8,4 -- 0,4 -- 1,0 -- 0,4 -- 1,2 -- 0,0 -- 0,4 -- 2,
"8","Villain",0 -- 4,0 -- 0,4 -- 6,0 -- 5,5 -- 7,1 -- 3,8 -- 6,--,0 -- 0,2 -- 2,4 -- 2,2 -- 2,2 -- 0,6 -- 0,6 -- 1,
"9","MrtheTaste",0 -- 0,1 -- 4,1 -- 11,7 -- 9,0 -- 4,1 -- 2,0 -- 4,0 -- 0,--,3 -- 2,0 -- 0,2 -- 0,0 -- 0,4 -- 7,2 -- 3,
"10","Purplespice",0 -- 0,1 -- 7,2 -- 6,0 -- 6,0 -- 2,0 -- 0,1 -- 4,2 -- 2,2 -- 3,--,1 -- 2,0 -- 2,0 -- 2,2 -- 0,4 -- 0,
"11","Silver",0 -- 0,0 -- 6,0 -- 4,1 -- 4,1 -- 4,0 -- 0,0 -- 0,2 -- 4,0 -- 0,2 -- 1,--,0 -- 0,5 -- 5,2 -- 1,3 -- 3,
"12","Absolutelynothing",0 -- 4,0 -- 5,2 -- 0,2 -- 5,1 -- 6,0 -- 2,1 -- 4,2 -- 2,0 -- 2,2 -- 0,0 -- 0,--,0 -- 0,2 -- 5,1 -- 2,
"13","Nep",0 -- 0,0 -- 2,0 -- 0,0 -- 2,0 -- 4,0 -- 4,0 -- 2,0 -- 2,0 -- 0,2 -- 0,5 -- 5,0 -- 0,--,0 -- 0,0 -- 0,
"14","YTS | MJS",0 -- 2,0 -- 6,0 -- 2,0 -- 4,1 -- 2,1 -- 4,0 -- 0,0 -- 6,7 -- 4,0 -- 2,1 -- 2,5 -- 2,0 -- 0,--,0 -- 0,
"15","majormoistme",1 -- 6,0 -- 0,0 -- 0,0 -- 0,0 -- 4,0 -- 2,2 -- 4,1 -- 6,3 -- 2,0 -- 4,3 -- 3,2 -- 1,0 -- 0,0 -- 0,--,
