Rank,Player,Points,Country,Characters
1,"Randomname",6106,"","Sephiroth - Terry - Fox"
2,"Silent Bob",5688,"","Incineroar - Wolf"
3,"Lamb",5211,"","Fox - Ice Climbers - Min Min"
4,"YTS | Jonch",5091,"","Snake"
5,"BowserAttack",4681,"","Cloud"
6,"LDog",4632,"","Dark Pit"
7,"YTS | Stag",4305,"","Young Link - Ice Climbers"
8,"Villain",4220,"","Bowser Jr - Meta Knight"
9,"MrtheTaste",3483,"","Joker - Mii Brawler"
10,"Purplespice",3294,"","Falco - Pyra / Mythra"
11,"Silver",3234,"","Inkling - Robin"
12,"Absolutelynothing",3174,"","Donkey Kong"
13,"Nep",2951,"","Corrin - Zero Suit Samus - Wii Fit Trainer"
14,"YTS | MJS",2720,"","Piranha Plant"
15,"majormoistme",2715,"","Kirby"
16,"Averyjm3457",2504,"","Roy - Ness - Rob"
17,"YTS | AX",1320,"","Sora"
18,"RetroLad64",896,"","Yoshi"
19,"YTS | MobMarMini",0,"","Bowser Jr - Corrin"
