,,"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",
,,"Randomname","Silent Bob","Lamb","YTS | Jonch","BowserAttack","LDog","YTS | Stag","Villain","MrtheTaste","Purplespice","Silver","Absolutelynothing","Nep","YTS | MJS","majormoistme",
"1","Randomname",--,3 -- 1,4 -- 2,3 -- 1,4 -- 1,2 -- 0,3 -- 0,2 -- 0,0 -- 0,0 -- 0,0 -- 0,2 -- 0,0 -- 0,1 -- 0,3 -- 0,
"2","Silent Bob",1 -- 3,--,1 -- 1,4 -- 0,1 -- 0,1 -- 1,4 -- 0,0 -- 0,2 -- 0,3 -- 0,3 -- 0,2 -- 0,1 -- 0,3 -- 0,0 -- 0,
"3","Lamb",2 -- 4,1 -- 1,--,3 -- 2,3 -- 1,2 -- 0,0 -- 1,3 -- 1,5 -- 0,3 -- 0,2 -- 0,0 -- 1,0 -- 0,1 -- 0,0 -- 0,
"4","YTS | Jonch",1 -- 3,0 -- 4,2 -- 3,--,2 -- 0,1 -- 0,1 -- 0,2 -- 0,3 -- 2,3 -- 0,2 -- 0,2 -- 0,1 -- 0,2 -- 0,0 -- 0,
"5","BowserAttack",1 -- 4,0 -- 1,1 -- 3,0 -- 2,--,1 -- 1,1 -- 1,2 -- 1,2 -- 0,1 -- 0,2 -- 0,3 -- 0,2 -- 0,1 -- 0,2 -- 0,
"6","LDog",0 -- 2,1 -- 1,0 -- 2,0 -- 1,1 -- 1,--,2 -- 0,1 -- 0,1 -- 0,0 -- 0,0 -- 0,1 -- 0,2 -- 0,2 -- 0,1 -- 0,
"7","YTS | Stag",0 -- 3,0 -- 4,1 -- 0,0 -- 1,1 -- 1,0 -- 2,--,1 -- 3,2 -- 0,2 -- 0,0 -- 0,2 -- 0,1 -- 0,0 -- 0,2 -- 0,
"8","Villain",0 -- 2,0 -- 0,1 -- 3,0 -- 2,1 -- 2,0 -- 1,3 -- 1,--,0 -- 0,1 -- 1,2 -- 0,1 -- 1,1 -- 0,3 -- 0,3 -- 0,
"9","MrtheTaste",0 -- 0,0 -- 2,0 -- 5,2 -- 3,0 -- 2,0 -- 1,0 -- 2,0 -- 0,--,1 -- 1,0 -- 0,1 -- 0,0 -- 0,2 -- 3,1 -- 1,
"10","Purplespice",0 -- 0,0 -- 3,0 -- 3,0 -- 3,0 -- 1,0 -- 0,0 -- 2,1 -- 1,1 -- 1,--,0 -- 1,0 -- 1,0 -- 1,1 -- 0,2 -- 0,
"11","Silver",0 -- 0,0 -- 3,0 -- 2,0 -- 2,0 -- 2,0 -- 0,0 -- 0,0 -- 2,0 -- 0,1 -- 0,--,0 -- 0,2 -- 2,1 -- 0,1 -- 1,
"12","Absolutelynothing",0 -- 2,0 -- 2,1 -- 0,0 -- 2,0 -- 3,0 -- 1,0 -- 2,1 -- 1,0 -- 1,1 -- 0,0 -- 0,--,0 -- 0,1 -- 2,0 -- 1,
"13","Nep",0 -- 0,0 -- 1,0 -- 0,0 -- 1,0 -- 2,0 -- 2,0 -- 1,0 -- 1,0 -- 0,1 -- 0,2 -- 2,0 -- 0,--,0 -- 0,0 -- 0,
"14","YTS | MJS",0 -- 1,0 -- 3,0 -- 1,0 -- 2,0 -- 1,0 -- 2,0 -- 0,0 -- 3,3 -- 2,0 -- 1,0 -- 1,2 -- 1,0 -- 0,--,0 -- 0,
"15","majormoistme",0 -- 3,0 -- 0,0 -- 0,0 -- 0,0 -- 2,0 -- 1,0 -- 2,0 -- 3,1 -- 1,0 -- 2,1 -- 1,1 -- 0,0 -- 0,0 -- 0,--,
